Text,Label
Jayettaaaa ente chunkkeee Sabu Chettan ,unknown_state
നായകൻമാരെ കണ്ട് കഴിഞ്ഞ സ്ഥിതിക്ക് ഇനി വില്ലന്റെ ഊഴം FaFa,unknown_state
മവനെ കൊല ഗാൻഡിൽ ഇറുക്ക് കൊല്ലാമേ വിടമാട്ടെ...,not-malayalam
1:38 ee scene kaanaan vendi trailer kaanunnath aarokke ??,unknown_state
മാമാകും കഴിഞ്ഞാൽ shylocin nalla hyp kodukanam,Positive
karaoke upload cheuukaya my chanal subscribe plz,unknown_state
Virus trailer kande evide vannavare undo,unknown_state
Ratchasan bgm അടിച്ചു മാറ്റിയ ഗോപി സുന്ദര്‍,Negative
ആറ്റം എൈറ്റമല്ല ഒരു അമട്ടിക്കന് ഇടിവെട്ട് ടീസര്  ഇക്ക മരണ മാസ്സ്,Positive
Appo raja inte anniyan prithviraj avide?,unknown_state
1000 CR movie god  f u c . m ...,not-malayalam
ഈ ഡയലോഗ് മറ്റ് ലാംഗ്വേജ് കളിലേക് ഡബ്ബ് ചെയ്യുമ്പോ എങ്ങനെ... യിരിക്കും അല്ലെ,unknown_state
Ittichante vaka oru sample vedikettu koodi,unknown_state
"Teaser kandu ,Ee Songum kandu.Ellarum Ithokke Kandittu Avarku Oru Samshayam ee Mamangathil Unniyettan (Unni Mukundan) ano Nayakan Ennuuu.enthayalum Unniyettante aa Mass Kanan Vendii Kattaa Waiting.Kandavellam Parayunnu Unniyettan KolaaMassaa Mamangathil Ennuuuu.UNNIYETTAN ISTAM.Unniyettane Istam Ollavar like adikan Marakalle",Positive
ആരോ ഒരാളല്ല നമ്മുടെ ഏട്ടൻ ബിഗ് ബ്രദർ....,unknown_state
sajeev pilla enna samvidhayakante kanneerinte vilayaanu ee sinima. chathi.,Negative
മിഥുൻ എല്ലതരം സിനിമയും ചെയ്യുന്ന ഒരു മികച്ച സംവിധായകൻ ആണ്  ആട് വേറേ ലെവൽ,Positive
super padam  cute song  ellarum  poli acting  dislike adicha kann adich pottikkum bonney parayan paranju,Positive
ദൈവമേ 1 മില്യ൯...    ...  ഒറ്റപേര്    മോഹ൯ലാൽ...,Positive
Padam average filim mathrameyullu fansukar pokkiparayunna rasamonnum padathinnillaa,Mixed_feelings
"ഇക്ക ഫാൻ ആണ്..  കുറച്ച് വർഷങ്ങളായി ലാലേട്ടന്റെ ഒരു പടത്തിനു കാത്തുനിൽക്കുന്നത് ഇല്ലാത്തത്. പക്ഷെ ഇതങ്ങോട്ട് ബോധിച്ചു. സംഭവം കളറായിട്ടുണ്ട്,  ഈ ഓണം ഇട്ടിമാണിക്ക് സ്വന്തം എന്ന് പ്രതീക്ഷിക്കുന്നു.  ഓണാശംസകൾ",Positive
Its tune like piso 21 mami,not-malayalam
Lalettante Adutha  100 Kodi ithayirikkumodiyan  enthaaa sheriyalle,unknown_state
Super Manju mam.... yuu looks promising.. love from Tamilnadu,not-malayalam
വെറുതെ ഒരു കാര്യവും ഇല്ലാതെ ഈ ചിത്രത്തിനെ നശിപ്പിക്കാൻ നോക്കുന്നവർ വെറുതെയല്ല വെട്ടും ഭയം കൊണ്ടുമാത്രമാണ്.. ഞാൻ ഒരു മമ്മുക്ക ആരാധകൻ അല്ല. പക്ഷേ പറയാതെ വയ്യ....,Positive
Nivin pauly best film is kayankulam kochunni,not-malayalam
Oru rakshayilla mass trailer!!!  Mammookka ,Positive
മാർഗംകളി പാട്ടിന്റെ ഷൂട്ട് ഞങ്ങളുടെ ചങ്ങരംകുളത്തായിരുന്നന്ന് ആർകൊക്കെ അറിയാം....,unknown_state
lalettan Polichu adukki oru rakshyum Illaa,Positive
Ithu polikkum..  Njangalu trissur kkarude padamaa..  Ellavarum poyi kandu polichadakku,Positive
Srk fan movie poly ano ,unknown_state
എന്റമ്മോ ഈ അസുരൻ പലതും അടിച്ചു തകർത്തിട്ടെ കളം വിടു എന്ന് തോന്നുന്നു,Positive
"Troll ഉണ്ടാക്കിയവർ  2019 january തൊട്ടു december വരെ റീലിസ് ആയ 12 pattukal കണ്ടിട്ട്,  ഈ പാട്ട് കണ്ട് നോക്കണം. അപ്പൊ അറിയാം വ്യത്യാസം !!",Positive
Ente   ikka,Positive
ഷ൪ട്ട്  ഊരി അഭിനയിക്കാൻ പറ്റാത്ത പ്രമുഖ നടന്റെ   Fans  കരയുന്നതു  coment boxil കാണാതെ പോവരുത്           പൂജപ്പുര നിവാസികൾ,Negative
കളിയാക്കുമെന്നു ഉറപ്പുണ്ടായിട്ടും ....ചെയ്യാൻ മനസ്സു കാണിച്ച ഇക്കാക് സല്യൂട്ട്...,Positive
ഇതൊരു നാട്ടുരാജാവ് style ആർക്കൊക്കെ തോന്നി......,unknown_state
Mass ne eru pereyulloo athane ikka,unknown_state
Kochi polee tirssur gundakaludee place aakuoo cinemakarrr.....trailer kollam...,Positive
Ambili kandavroke onnu like adiche Kanaathavar onnu kanade povalle nashtaman,Positive
Reapettt mode..on...!!. Enne ividenn arenkhillum onn  kondopoko...????,Positive
