Label,Text
not-malayalam,Tovi  Best Wishes From #Kunjikka Fans
unknown_state,Urutty koll .nallavanaaya unniyaya saiju kurup engane chaagum ennariyan katta waiting
not-malayalam,Pls support me pls       My channel subscribe pls Pls
Positive,Kalki super hit akum enn Bonny parayan paranju
unknown_state,Ettane kaanan vendi vannavar undo  Podunge inge oru like
unknown_state,I am waiting for.................... tovino kalki trailer tovino fans like here
Positive,Become an arjun asokaN fan. .. padam kalakki
Negative,Koora padam
unknown_state,Nairsab last ikka and piller kettipidikkunna scene orma vannu enik...
not-malayalam,mamuka    super    unda   will  super
unknown_state,undayum illa oru andiyum illa.nammuk nammale ullu...uffff dialouge 
Negative,Poli padam njn ella mammooty movies kanarundu itrekku disapointed akkiya oru movie aduthundayittilla
Negative,Padathinte peru sheriyalla yenth unda oru veraity vende perinu.
unknown_state,Undayude trailer june 20 shesham kanunnavrundo
Positive,Nalla oru film anuuu ellavarum poyi kanu....
Negative,Iyyalkke rest cheyyanulla time aayilla.. kanda oola padagalilellam abinayiche vila poi paavam..
unknown_state,Stars nu pakaram Nalla cinema'ye support cheyyunavar adi like..
unknown_state,Super movie.. undayum illa oru andiyum illa
unknown_state,Sire unda vannille...? SI Mani : Undem illa oru andiyum illa. In theater 
unknown_state,Cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam
Positive,Padam kand trailer kanuvan vannvar undo..poli film
unknown_state,pakka realistic filim aanenn thonunnavar like adikkooooo
Positive,Ikka polichu movie Si Mani sir
unknown_state,padam kandittu trailer Kanaan vannavar undo
Mixed_feelings,degrading illel manyamaayi odiyekkavinna movie anennu thonnunnu!!
not-malayalam,Galidh rahman.  after anuraga karikkin vellam.
unknown_state,Mamooka realistic padam cheyan thirumanicha sthithikk lalettan koodi onnu realistic padangal cheyyanamennu agrahikunnavar undel like adiku
unknown_state,Anu sithara:Ikkayude Uncle kandu njan karanju poi. Fans:Poli! Anu sithara:Ikkayude MaduraRaja kandu njan kori tharichu poi. Fans:Ore pwoli!! Anu sithara:Ikkayude Unda k.. Fans:Nirthu.Mindathiriyade...
unknown_state,mammokka madiyokke maatti kasaraan eranginnu thonnunnund. kore naalaayi ingerde maryadhakkolla oru padam kandittu.
Positive,peru ketapol e unda pottum ennaanu karuthiyath. but unda load aayappol alle manasilaayath.... e unda pottilla
not-malayalam,Sir release date kiya 14 june
not-malayalam,poster response in social media
Positive,1:11 a simple loook enna poweraaa!!!!
not-malayalam,Waiting to see mammukaas undaa 
Mixed_feelings,renddunda oru venda.
unknown_state,Mammukka yude unda kaaanan wait cheyunnavar like adikku
