Text,Label
Anyone from kerala here,not-Kannada
Movie rerelease madi plss,Not_offensive
Amazon prime alli bittidira....yella manele nodtare....,Not_offensive
Guru sure news nanu tik tok dawn lod madeda yavaga nama nDudu tindu nama dashda mala uddha madaka bandro avaga deleted,Not_offensive
ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m  ಮತ್ತು ಟೀಸರ್ 8.5.m ಬೆಂಕಿ ಗುರು ಮೂವಿ  ವೇಟಿಂಗ್,Not_offensive
Ade old same story,Offensive_Targeted_Insult_Group
Superb rakshit sir sobg superb macking,not-Kannada
Hai Neel (prithvi) wonderful movie dia,not-Kannada
ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ರಶ್ಮಿಕಾಗೆ ತುಂಬಾ ಉರುಸು,Not_offensive
E tara film ge ella kaitaididdu.... Welcooome..... Item song iro,Not_offensive
Super  guru ,Not_offensive
Different aagide song... n,Not_offensive
D BOOS FANS ALL THE BEST,not-Kannada
ನಿಜವಾಗಿಯೂ  ಅದ್ಭುತ heartly heltidini... plz avrigella namma nimmellara supprt beku,Not_offensive
I'm speechless,Not_offensive
Movie was amazing!!,not-Kannada
BLACK HEART ala,Not_offensive
ಬ್ರೋ ಅವರು ಗೆ ದೇಶದ ಬಗ್ಗೆ ಅಭಿಮಾನ ಇಲ್ಲಾ ಬಿಡಿ,Offensive_Targeted_Insult_Other
ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ,Not_offensive
ಇನ್ನೊಮ್ಮೆ ಬಿಡುಗಡೆ ಮಾಡಿ ಗೆಲ್ಸೋ ಜವಾಬ್ದಾರಿ ನಮ್ಮದು....#ಮತ್ತೊಮ್ಮೆ ದಿಯಾ.,Not_offensive
Movie supper sir,not-Kannada
Super sir keep it,not-Kannada
ಇನ್ನು ಕೇವಲ 1000 ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಬೇಕಿದೆ.. ಅತಿ ಹೆಚ್ಚು ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಪಡೆದ ಕನ್ನಡ ಚಲನಚಿತ್ರದ ದೃಶ್ಯ ಗೀತೆ (ವೀಡಿಯೊ ಹಾಡು) ಆಗಲು nಯೂಟ್ಯೂಬ್ ನಲ್ಲಿ..  nದಿನಾಂಕ,Not_offensive
ಶ್ರೀ ಮನ್ ನಾರಾಯಣ  movie ಹಾಡು  ಕೇಳಲು  ಸುಮಧುರ...... ಡ್ಯಾನ್ಸ್  ಸೂಪರ್....   ಇದೆ,Not_offensive
ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.... ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್  ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ.....,Offensive_Targeted_Insult_Group
Randhawa movie 10 rating ide,Not_offensive
ಸೂಪರ್ ಬಗ್ರೌಂಡ್ music,Not_offensive
Eno ontara chnnagide annoru like madi,Not_offensive
Bindu gowda ge super agi ugididdeera,Offensive_Targeted_Insult_Individual
Kannadadalli mado badlu hindinalli madidre superrhit agodhu,Offensive_Untargetede
Rip dislikers,not-Kannada
Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,Offensive_Targeted_Insult_Individual
ಅದ್ಬುತ ಕಲೆ ಸಾಹಿತ್ಯ ಸಂಗೀತ ಗಾಯನ,Not_offensive
Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla,Not_offensive
@Troll Stupid Fans heno helkodthidallla  adunna helkodo munche neenu kaltho henge irbeku antha suvar gandu anthidde ivga ninge baididke thika huritha,Offensive_Targeted_Insult_Individual
tippa yappa supper,Not_offensive
Yar guru ninu.....super,Not_offensive
@prithvi nayak nimma Amman tulla suledeepa movie yavdu hit aagide helu recent aagi bandidralli,Offensive_Targeted_Insult_Individual
Really nyc sakath chenagi madidira nange esta aythu. Super riii adrallu tiktok dattu putra nna sakath roast madi heltini...,Not_offensive
ಪ್ರೀತಿಗೋಸ್ಕರ ಪ್ರಾಣನೆ ಬಿಡ್ತಾರೆ,Offensive_Targeted_Insult_Other
Thank you so much,not-Kannada
ದೃಷ್ಟಿ ನನ್ನೋಬ್ಬನ ಮೇಲಿಡಿ ತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ film nodo munchene ee song ista adavaru like madi,Not_offensive
Indian no.1 bgm,not-Kannada
ಮೆಲ್ಲನೆ ನಶೆ ಎರಿಸೊ ಹಾಡು,Not_offensive
Nimm avvan tull ...kannag en tunni itkond nodi en Randi magagna,Offensive_Targeted_Insult_Group
Nice story accting super prajval devraaj,Not_offensive
Bro sorry ond matu nang eetara troll madodu ella ishta agtirlilla first time nimm videos nodi sakkath kushiaytu nd ur video really give a good msg,Not_offensive
hindi m bhi daal. do yaaro,not-Kannada
love you shankar sir ........namage neevu beku sir !!! matte neevu nammanna manaranjane maadi neevu illade iro kannada cinema naanu nodalla sir .....,Not_offensive
SUPER  R  BOSS,Not_offensive
ಸಾಹಿತ್ಯ ಓದಿ ಹಾಡು ಕೇಳಿ ಆನಂದಿಸಿ.,Not_offensive
ಸೂಪರ್ ಗುರು ನಿಜ,Not_offensive
All industries are going hands up.. 27kke avanu bandaga,Not_offensive
Hoooo super guru nin voice bhal superrrr,Not_offensive
Delete hadru nanu downloade made,Not_offensive
ಹಾ ದೇವರು ಒಳ್ಳೆಯವರಿಗೇ ಯಾವಾಗಲೂ ಕಷ್ಟ ಕೋಡದು ಸರ್ ನಿಮಗೇ ಒಳ್ಳೆದಾಗಲ್ಲಿ... ಸರ್..,Not_offensive
ನಮ್ಮ ಕಾಮೆಂಟ್ ನೋಡಿ ಓದಿದವರ ಸಮಸ್ಯೆಗಳು ಬೇಗ ಪರಿಹಾರವಾಗಲಿ...ಓಂ ನಮೋ ನಾರಯಣಯ ನಮಃ,Not_offensive
ನೈಸ್ ಚಿತ್ರ ಅವನೇ ಶ್ರೀ ಮಾನ್ ನಾರಾಯಣ........ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.......,Not_offensive
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive
Malayalis pore,not-Kannada
Sir ನಮಸ್ಕಾರ ಕಲಿಯುಗದಲ್ಲಿ ಅಶ್ವತ್ಥಾಮ ಇದ್ದಾರೆ ಅಂತ ಹೇಳಿದರು .ಎಲ್ಲಿ ಇದ್ದಾರೆ  ಅವರು ನಾವು ನೋಡಬಹುದ ನನು ನೊಡಬೇಕು ಅಂತಾ  ಇದೇ ಅಗತ್ತ sir,Not_offensive
I'm full happy bro ,not-Kannada
Rakshit shetty superb,Not_offensive
Darshan Sir swalpa sahaya madidare,Not_offensive
ಮಸ್ತ್ ಇದೆ ಈ ಹಾಡು,Not_offensive
Super sir namge thumba istavada kathe nam parents ge kelisbeku aadastu bega idanna,Not_offensive
@RAM jnh MNR ss,not-Kannada
Barri dabba movie ne unn maado du,Offensive_Targeted_Insult_Group
ಪಕ್ಕಾ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿ ಸೋ ಅವತಾರ,Not_offensive
Sir naanu Visakhapatnam li iradhu,Not_offensive
Yar muje ye movie hindi me dekhni hai,not-Kannada
real life great sir,Not_offensive
@Manju Sonu  ಅಭಿನಂದನೆ,Not_offensive
Bro hindi language pls,not-Kannada
Ha sanchari vijay waiting to see him,not-Kannada
ಆವಾಗಾವಾಗ ಈ ಹಾಡು ಕೇಳಲಿಲ್ಲ ಅಂದ್ರೆ ಏನೋ ಮಿಸ್ ಮಾಡಿದಾಹಾಗೆ ಆಗುತ್ತೆnSlow poison,Not_offensive
Inspired from korean movie Midnight Runners,Not_offensive
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive
gadag our city,not-Kannada
Awsome movie must match movie,Not_offensive
Thanks for likes,not-Kannada
Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,Not_offensive
Yes Nam ura hudgange mosa Madi hodlu ..amele Nam Karnataka kk avmana madidlu avlige yakadru hode ansbeku,Offensive_Targeted_Insult_Individual
I hate tiktok mobile thagondagindanu install made illa i hate this,Offensive_Targeted_Insult_Other
Howdu GurunAdre climax papa,Not_offensive
ಸಿನಿಮಾ ಬಿಡುಗಡೆಗು ಮುನ್ನ ಹಾಡು ಬಿಡುಗಡೆ ಮಾಡೋಕೆ ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಇಂದ ಮಾತ್ರ ಸಾಧ್ಯ.  # ಅವನೇ ಶ್ರೀ ಮನ್ನಾ ನಾರಾಯಣ.,Not_offensive
